,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5,nearby_idx_6,nearby_idx_7,nearby_idx_8,nearby_idx_9,nearby_idx_10,nearby_idx_11,nearby_idx_12,nearby_idx_13,nearby_idx_14,nearby_idx_15,nearby_idx_16,nearby_idx_17,nearby_idx_18,nearby_idx_19,nearby_idx_20,nearby_idx_21,nearby_idx_22,nearby_idx_23,nearby_idx_24,nearby_idx_25,nearby_idx_26,nearby_idx_27,nearby_idx_28
213,11.0,180.0,660.0,847.0,1040.0,26.0,45.0,205.0,230.0,681.0,121.0,679.0,262.0,29.0,,,,,,,,,,,,,,
214,1011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,216.0,451.0,980.0,1098.0,,,,,,,,,,,,,,,,,,,,,,,,
216,215.0,451.0,980.0,1098.0,,,,,,,,,,,,,,,,,,,,,,,,
217,533.0,1153.0,274.0,307.0,616.0,500.0,510.0,338.0,565.0,564.0,,,,,,,,,,,,,,,,,,
218,79.0,210.0,418.0,135.0,591.0,547.0,546.0,101.0,14.0,3.0,,,,,,,,,,,,,,,,,,
219,246.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,287.0,364.0,328.0,429.0,423.0,422.0,329.0,186.0,330.0,421.0,15.0,247.0,884.0,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,534.0,485.0,616.0,577.0,570.0,,,,,,,,,,,,,,,,,,,,,,,
223,212.0,187.0,727.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,
224,417.0,1143.0,137.0,35.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
225,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,71.0,586.0,882.0,357.0,669.0,,,,,,,,,,,,,,,,,,,,,,,
227,995.0,1076.0,76.0,1041.0,,,,,,,,,,,,,,,,,,,,,,,,
228,401.0,314.0,345.0,264.0,395.0,492.0,506.0,148.0,411.0,480.0,607.0,394.0,502.0,531.0,462.0,131.0,459.0,461.0,542.0,634.0,374.0,495.0,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
